person_external_id,person_fullname,person_firstname,person_lastname,person_party_fr,person_website_parliament_url_fr,person_image_url,person_birthday,person_occupation_fr,person_gender,person_function_latest_fr
99,Daniel Zaugg,Daniel,Zaugg,PLR,https://ge.ch/grandconseil/gc/depute/99/,https://ge.ch/grandconseil/data/deputes/depute_photo_a5d32bdb78e21d2aabb26ac9241c1680.jpg,1964-01-01,Entrepreneur,m,
98,Pierre Weiss,Pierre,Weiss,PLR,https://ge.ch/grandconseil/gc/depute/98/,https://ge.ch/grandconseil/data/deputes/depute_photo_32644842812bdbd4bfab0daa0a039cfd.jpg,1952-01-01,Sociologue,m,
97,Francis Walpen,Francis,Walpen,L,https://ge.ch/grandconseil/gc/depute/97/,https://ge.ch/grandconseil/data/deputes/depute_photo_80c10c4fb9afa893ea550ace5b24e2f4.jpg,1941-01-01,Député,m,
95,Manuel Tornare,Manuel,Tornare,S,https://ge.ch/grandconseil/gc/depute/95/,https://ge.ch/grandconseil/data/deputes/depute_photo_5e4870a54f10b5e39e5a079938694367.jpg,1951-01-01,"Conseiller administratif, Ville de Genève",m,
94,Eric Stauffer,Eric,Stauffer,HP,https://ge.ch/grandconseil/gc/depute/94/,https://ge.ch/grandconseil/data/deputes/depute_photo_9ca0e8fd5859d0755b54882919fedb2c.jpg,1964-01-01,Directeur,m,
93,Pascal Spuhler,Pascal,Spuhler,HP,https://ge.ch/grandconseil/gc/depute/93/,https://ge.ch/grandconseil/data/deputes/depute_photo_8c44b4b6d5dbe48167a1c298a917f731.jpg,1963-01-01,Indépendant,m,
92,Ivan Slatkine,Ivan,Slatkine,PLR,https://ge.ch/grandconseil/gc/depute/92/,https://ge.ch/grandconseil/data/deputes/depute_photo_47ef34a563e9b94cf9b28a1513b12157.jpg,1972-01-01,Editeur,m,
91,Christine Serdaly Morgan,Christine,Serdaly Morgan,S,https://ge.ch/grandconseil/gc/depute/91/,https://ge.ch/grandconseil/data/deputes/depute_photo_e3c2d21e3022c5f2b608e61f921efe04.jpg,1964-01-01,Consultante et entrepreneur sociale,f,
9,Catherine Baud,Catherine,Baud,Ve,https://ge.ch/grandconseil/gc/depute/9/,https://ge.ch/grandconseil/data/deputes/depute_photo_a89e369c37885c6dcdee95bd661d7336.jpg,1956-01-01,,f,
89,Nathalie Schneuwly,Nathalie,Schneuwly,PLR,https://ge.ch/grandconseil/gc/depute/89/,https://ge.ch/grandconseil/data/deputes/depute_photo_4963eb6f07a1259b74f8bd84b7893ed7.jpg,1969-01-01,Juriste,f,
90,Charles Selleger,Charles,Selleger,LJS,https://ge.ch/grandconseil/gc/depute/90/,https://ge.ch/grandconseil/data/deputes/depute_photo_3ffc4d987cbb9786dfff2ee1533ffd6c.jpg,1950-01-01,Retraité,m,
87,Lydia Schneider Hausser,Lydia,Schneider Hausser,S,https://ge.ch/grandconseil/gc/depute/87/,https://ge.ch/grandconseil/data/deputes/depute_photo_eb6328f1b69364638ee7f0781331a993.jpg,1958-01-01,Travailleuse sociale,f,
86,Philippe Schaller,Philippe,Schaller,PDC,https://ge.ch/grandconseil/gc/depute/86/,https://ge.ch/grandconseil/data/deputes/depute_photo_2609e987923aef34187730b54e8ef296.jpg,1954-01-01,Médecin,m,
85,Olivier Sauty,Olivier,Sauty,MCG,https://ge.ch/grandconseil/gc/depute/85/,https://ge.ch/grandconseil/data/deputes/depute_photo_064ee9acaab1f689165a285bae38bd1d.jpg,1965-01-01,Exploitant,m,
88,Brigitte Schneider-Bidaux,Brigitte,Schneider-Bidaux,Ve,https://ge.ch/grandconseil/gc/depute/88/,https://ge.ch/grandconseil/data/deputes/depute_photo_acf0f86d88b89d7e0125ac81cc5c7cd2.jpg,1956-01-01,Infirmière (Service Santé Jeunesse),f,
83,Patrick Saudan,Patrick,Saudan,HP,https://ge.ch/grandconseil/gc/depute/83/,https://ge.ch/grandconseil/data/deputes/depute_photo_706922b4a456989611c7550ceb9feee1.jpg,1960-01-01,"Médecin-cadre, HUG, responsable unité de dialyse",m,
84,Guillaume Sauty,Guillaume,Sauty,MCG,https://ge.ch/grandconseil/gc/depute/84/,https://ge.ch/grandconseil/data/deputes/depute_photo_b4dd6c19be4102e7b5266a58d0387000.jpg,1988-01-01,Indépendant,m,
82,Jean Romain,Jean,Romain,PLR,https://ge.ch/grandconseil/gc/depute/82/,https://ge.ch/grandconseil/data/deputes/depute_photo_4a4b091b510859aac562a43c427ed896.jpg,1952-01-01,Chroniqueur - Ecrivain (indépendant),m,
81,Dominique Rolle,Dominique,Rolle,HP,https://ge.ch/grandconseil/gc/depute/81/,https://ge.ch/grandconseil/data/deputes/depute_photo_e70ed136812e9a01c8afcd63759e0df8.jpg,1972-01-01,Dirigeante d’entreprise,f,
80,Jacqueline Roiz,Jacqueline,Roiz,Ve,https://ge.ch/grandconseil/gc/depute/80/,https://ge.ch/grandconseil/data/deputes/depute_photo_34801db6a7c6794cb32448f8e20ac2d5.jpg,1966-01-01,Responsable Qualité Environnement Sécurité,f,
8,Gabriel Barrillier,Gabriel,Barrillier,PLR,https://ge.ch/grandconseil/gc/depute/8/,https://ge.ch/grandconseil/data/deputes/depute_photo_c7ec006d8bcfe141fe750e6db22def84.jpg,1945-01-01,Retraité,m,
79,Henry Rappaz,Henry,Rappaz,MCG,https://ge.ch/grandconseil/gc/depute/79/,https://ge.ch/grandconseil/data/deputes/depute_photo_a466d6cc23db8db2c84fe17bbc8318ed.jpg,1942-01-01,Cinéaste-réalisateur,m,
78,André Python,André,Python,MCG,https://ge.ch/grandconseil/gc/depute/78/,https://ge.ch/grandconseil/data/deputes/depute_photo_07afb0c8f94e5fec650dffe01aa081ac.jpg,1954-01-01,Retraité,m,
74,Olivier Norer,Olivier,Norer,Ve,https://ge.ch/grandconseil/gc/depute/74/,https://ge.ch/grandconseil/data/deputes/depute_photo_197017fbdd71e4f8fd951178689ee40a.jpg,1973-01-01,Géographe - Expert réseau TPG,m,
77,Mauro Poggia,Mauro,Poggia,MCG,https://ge.ch/grandconseil/gc/depute/77/,https://ge.ch/grandconseil/data/deputes/depute_photo_9a1b155190d994e789c7c1fda93d3313.jpg,1959-01-01,Avocat,m,
75,Pascal Pétroz,Pascal,Pétroz,PDC,https://ge.ch/grandconseil/gc/depute/75/,https://ge.ch/grandconseil/data/deputes/depute_photo_f95f19704a75c7dc7dd93b2614d14d3c.jpg,1971-01-01,Avocat,m,
72,Salima Moyard,Salima,Moyard,S,https://ge.ch/grandconseil/gc/depute/72/,https://ge.ch/grandconseil/data/deputes/depute_photo_7b8c293dc65b69cb7e5e7545a3eaadcb.jpg,1983-01-01,Enseignante,f,
70,Alain Meylan,Alain,Meylan,L,https://ge.ch/grandconseil/gc/depute/70/,https://ge.ch/grandconseil/data/deputes/depute_photo_5fa0d6617726cfabbe6d39c83edd4396.jpg,1962-01-01,Directeur secrétaire d’associations professionnelles,m,
71,Philippe Morel,Philippe,Morel,MCG,https://ge.ch/grandconseil/gc/depute/71/,https://ge.ch/grandconseil/data/deputes/depute_photo_b8751548c3b5b587ef567bd3097d53fe.jpg,1952-01-01,Chirurgien,m,
73,Sylvia Nissim,Sylvia,Nissim,Ve,https://ge.ch/grandconseil/gc/depute/73/,https://ge.ch/grandconseil/data/deputes/depute_photo_37fe553afac3bd99a79b8e371fad9393.jpg,1983-01-01,Assistante à la Haute Ecole de Santé de Genève (HEDS),f,
67,Vincent Maitre,Vincent,Maitre,PDC,https://ge.ch/grandconseil/gc/depute/67/,https://ge.ch/grandconseil/data/deputes/depute_photo_2028fd4ab1751f19212d39847ab47d4b.jpg,1981-01-01,Avocat,m,
7,Antoine Barde,Antoine,Barde,PLR,https://ge.ch/grandconseil/gc/depute/7/,https://ge.ch/grandconseil/data/deputes/depute_photo_0a9f3b4769056140e2bd816a4de8ce9a.jpg,1975-01-01,"Directeur administratif, Fondation Phenix",m,
63,Miguel Limpo,Miguel,Limpo,Ve,https://ge.ch/grandconseil/gc/depute/63/,https://ge.ch/grandconseil/data/deputes/depute_photo_01f5a45a0f4b351835e48c75be2d5ba4.jpg,1981-01-01,Chargé de communication,m,
64,Pierre Losio,Pierre,Losio,Ve,https://ge.ch/grandconseil/gc/depute/64/,https://ge.ch/grandconseil/data/deputes/depute_photo_e00a697d294b58ade14052b3352c464b.jpg,1947-01-01,Retraité,m,
