voting_id,voting_external_id,voting_date,voting_affair_external_id,voting_affair_number,voting_title_fr,voting_url_fr,voting_results_yes,voting_results_no,voting_results_abstention,voting_affair_title_fr,Référence,type_vote,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
142687,030210_AN-PL13407A,2025-02-14 20:02:00,PL 13407,PL 13407,"PL 13407-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030210/AN-PL13407A.pdf,80.0,0.0,0.0,Sur la navigation dans les eaux genevoises (LNav) (H 2 05),H 2 05,PL,Loi sur la navigation dans les eaux genevoises (LNav),H,H 2,Navigation,Transports et communications
142623,030210_AN-PL13250,2025-02-14 15:48:00,PL 13250,PL 13250,"PL 13250, vote nominal : 1er débat",https://ge.ch/grandconseil/data/odj/030210/AN-PL13250.pdf,42.0,52.0,0.0,Modifiant la constitution de la République et canton de Genève (Cst-GE) (A 2 00) (Afin d'établir un véritable congé parental - contreprojet à l'IN 184),A 2 00,PL,Constitution de la République et canton de Genève (Cst-GE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
142493,030210_AN-PL12541A,2025-02-13 19:15:00,PL 12541,PL 12541,"PL 12541-A, vote nominal : 1er débat",https://ge.ch/grandconseil/data/odj/030210/AN-PL12541A.pdf,42.0,51.0,0.0,Modifiant la loi sur l'Aéroport international de Genève (LAIG) (H 3 25),H 3 25,PL,Loi sur l’Aéroport international de Genève (LAIG),H,H 3,Navigation aérienne,Transports et communications
142496,030209_AN-PL12575B,2025-01-24 17:40:00,PL 12575,PL 12575,"PL 12575-B, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL12575B.pdf,51.0,45.0,0.0,Modifiant la loi sur la gestion administrative et financière de l'Etat (LGAF) (D 1 05) (Maîtrise des engagements),D 1 05,PL,Loi sur la gestion administrative et financière de l’Etat (LGAF),D,D 1,Organisation,Finances et contributions
142495,030209_AN-PL12574B,2025-01-24 17:35:00,PL 12574,PL 12574,"PL 12574-B, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL12574B.pdf,51.0,45.0,0.0,Modifiant la loi sur la gestion administrative et financière de l'Etat (LGAF) (D 1 05) (Maîtrise des charges),D 1 05,PL,Loi sur la gestion administrative et financière de l’Etat (LGAF),D,D 1,Organisation,Finances et contributions
142727,030209_AN-PL13550A,2025-01-23 22:11:00,PL 13550,PL 13550,"PL 13550-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL13550A.pdf,82.0,13.0,0.0,Modifiant la loi sur l'organisation judiciaire (LOJ) (E 2 05) (Renforcement de la surveillance des magistrates et magistrats du pouvoir judiciaire),E 2 05,PL,Loi sur l’organisation judiciaire (LOJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
142726,030209_AN-PL13549A,2025-01-23 22:09:00,PL 13549,PL 13549,"PL 13549-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL13549A.pdf,82.0,13.0,0.0,Projet de loi constitutionnelle du Conseil d'Etat modifiant la constitution de la République et canton de Genève (Cst-GE) (A 2 00) (Renforcement de la surveillance des magistrates et magistrats du pouvoir judiciaire),A 2 00,PL,Constitution de la République et canton de Genève (Cst-GE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
142725,030209_AN-PL13548A,2025-01-23 21:42:00,PL 13548,PL 13548,"PL 13548-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL13548A.pdf,67.0,20.0,0.0,Modifiant la loi sur l'exercice des droits politiques (LEDP) (A 5 05) (Elections générales du pouvoir judiciaire),A 5 05,PL,Loi sur l’exercice des droits politiques (LEDP),A,A 5,Droits politiques,Structure cantonale et principes fondamentaux
142724,030209_AN-PL13547A,2025-01-23 21:39:00,PL 13547,PL 13547,"PL 13547-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030209/AN-PL13547A.pdf,69.0,20.0,0.0,Projet de loi constitutionnelle du Conseil d'Etat modifiant la constitution de la République et canton de Genève (Cst-GE) (A 2 00) (Elections générales du pouvoir judiciaire),A 2 00,PL,Constitution de la République et canton de Genève (Cst-GE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
142722,030208_AN-PL13535A-4,2024-12-13 12:02:00,PL 13535,PL 13535,"PL 13535-A (budget 2025), vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030208/AN-PL13535A-4.pdf,76.0,1.0,9.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2025 (LBu-2025) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142721,030208_AN-PL13535A-3,2024-12-12 21:26:00,PL 13535,PL 13535,"PL 13535-A (budget 2025), vote nominal : 2e débat, fonctionnement Politique publique E, programme E04, nature 30, amendement de L. Dugerdil (charges de personnel: -160 000 francs)",https://ge.ch/grandconseil/data/odj/030208/AN-PL13535A-3.pdf,27.0,59.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2025 (LBu-2025) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142720,030208_AN-PL13535A-2,2024-12-12 19:17:00,PL 13535,PL 13535,"PL 13535-A (budget 2025), vote nominal : 2e débat, fonctionnement, politique publique D",https://ge.ch/grandconseil/data/odj/030208/AN-PL13535A-2.pdf,65.0,0.0,16.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2025 (LBu-2025) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142719,030208_AN-PL13535A-1,2024-12-12 19:11:00,PL 13535,PL 13535,"PL 13535-A (budget 2025), vote nominal : 2e débat, fonctionnement Politique publique D, programme D01, nature 36, amendement de P. Nicollier (subventions à des collectivités et à des tiers et autres charges de transfert: -3 335 000 francs)",https://ge.ch/grandconseil/data/odj/030208/AN-PL13535A-1.pdf,26.0,57.0,2.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2025 (LBu-2025) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142684,030208_AN-PL13397A,2024-12-12 15:16:00,PL 13397,PL 13397,"PL 13397-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030208/AN-PL13397A.pdf,88.0,0.0,0.0,Modifiant la loi sur l'énergie (LEn) (L 2 30) (Raccordement des autoproducteurs au réseau électrique : dynamisons la production d'énergies renouvelables),L 2 30,PL,Loi sur l’énergie (LEn),L,L 2,Eaux et énergies,Domaine public et travaux
