Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
A 1 01,Acte d’union de la République de Genève à la Confédération suisse (AcU-GE-CH),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 02,Traité entre Sa Majesté très chrestienne et la Republique de Geneve (Tr-F-GE),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 03,Extrait du Procès-verbal de la délimitation entre le territoire du royaume de France et celui du canton de Genève (PVDT-F-GE),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 04,Extrait du Procès-verbal de délimitation du territoire de Céligny (PVDT-Cél),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 05,Protocole du Congrès de Vienne (territoire cédé au canton de Genève) (PC-Vienne-1),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 06,Protocole du Congrès de Vienne (relatif à la neutralisation du Chablais et du Faucigny) (PC-Vienne-2),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 07,"Traité de Turin entre Sa Majesté le roi de Sardaigne, la Confédération suisse et le canton de Genève (TrTurin)",A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 08,"Convention pour le partage des biens appartenant aux communes dont une partie seulement a été cédée à la Suisse par S. M. le roi de Sardaigne, d’après le traité du 16 mars 1816 (Cpart)",A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 09,Frontière Vaud-Genève ou Traité de Lausanne (TrLausanne),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 10,Convention entre la Suisse et la France sur la détermination de la frontière dans le lac Léman (CDFLéman),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 11,Accord de Karlsruhe sur la coopération transfrontalière entre les collectivités territoriales et organismes publics locaux (AKCT),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 11.0,Loi ratifiant l’extension au canton de Genève de l’accord de Karlsruhe sur la coopération transfrontalière entre les collectivités territoriales et organismes publics locaux (L-AKCT),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 12,Loi relative aux organismes de coopération transfrontalière (LOCT),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 13,"Convention instituant le Groupement local de coopération transfrontalière « Projet d’agglomération franco-valdo-genevois », en vue d’en assurer la gouvernance (CAgglo)",A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 1 13.0,Loi approuvant la création du Groupement local de coopération transfrontalière « Projet d’agglomération franco-valdo-genevois » (L‑CAgglo),A,A 1,"Territoire, lien à la Confédération",Structure cantonale et principes fondamentaux
A 2 00,Constitution de la République et canton de Genève (Cst-GE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 04,Loi-cadre sur la répartition des tâches entre les communes et le canton (LRT),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 04.03,Règlement sur le fonds de régulation dans le cadre de la réforme de la répartition des tâches entre les communes et le canton (RFRRT),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 05,Loi sur la répartition des tâches entre les communes et le canton (1er train) (LRT-1),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 05.03,"Règlement sur les prestations de soutien aux personnes âgées délivrées par les communes, en application de la loi sur la répartition des tâches entre les communes et le canton (1er train) (RPSPA-LRT-1)",A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 07,Loi sur la répartition des tâches entre les communes et le canton en matière de sport (3e train) (LRT-3),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 08,"Loi sur l’information du public, l’accès aux documents et la protection des données personnelles (LIPAD)",A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 08.01,"Règlement d’application de la loi sur l’information du public, l’accès aux documents et la protection des données personnelles (RIPAD)",A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 09,Loi instituant les numéros d’identification personnels communs (LNIP),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 10,Loi sur les effets et l’application des lois (LEAL),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 15,Loi sur la prestation des serments (LSer),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 20,Loi sur les commissions officielles (LCOf),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 20.01,Règlement sur les commissions officielles (RCOf),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 24,Loi sur l’organisation des institutions de droit public (LOIDP),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 24.01,Règlement sur l’organisation des institutions de droit public (ROIDP),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 30,Loi sur la computation des délais échéant un samedi (LDélais),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 35,Loi concernant la législation expérimentale (LLExp),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 40,Loi sur la responsabilité de l’Etat et des communes (LREC),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 55,Loi sur l'intégration des étrangers (LIEtr),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 55.01,Règlement d'application de la loi sur l'intégration des étrangers (RIEtr),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 60,Loi sur l'action publique en vue d'un développement durable (Agenda 21) (LDD),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 65,Loi sur les relations et le développement de la Genève internationale (LGI),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 70,Loi relative à la politique de cohésion sociale en milieu urbain (LCSMU),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 70.01,Règlement d’application de la loi relative à la politique de cohésion sociale en milieu urbain (RCSMU),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 75,Loi sur la laïcité de l’Etat (LLE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 75.01,Règlement d’application de la loi sur la laïcité de l’Etat (RLE),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 80,Loi sur la lutte contre la traite des êtres humains (LTEH),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 90,Loi générale sur l’égalité et la lutte contre les discriminations (LED),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 2 91,Loi sur l’égalité et la lutte contre les discriminations liées au sexe et au genre (LED-Genre),A,A 2,Constitution et principes généraux,Structure cantonale et principes fondamentaux
A 3 01,"Loi sur la dénomination, les armoiries et les couleurs de l’Etat (LArm)",A,A 3,"Dénomination, armoiries et couleurs de l’Etat",Structure cantonale et principes fondamentaux
A 4 05,Loi sur le droit de cité genevois (LDCG),A,A 4,Nationalité,Structure cantonale et principes fondamentaux
A 4 05.01,Règlement d'application de la loi sur le droit de cité genevois (RDCG),A,A 4,Nationalité,Structure cantonale et principes fondamentaux
A 4 05.04,Règlement concernant la détermination des communes d’origine des citoyens genevois (RCOG),A,A 4,Nationalité,Structure cantonale et principes fondamentaux
A 5 05,Loi sur l’exercice des droits politiques (LEDP),A,A 5,Droits politiques,Structure cantonale et principes fondamentaux
A 5 05.01,Règlement d’application de la loi sur l’exercice des droits politiques (REDP),A,A 5,Droits politiques,Structure cantonale et principes fondamentaux
A 5 05.03,Règlement concernant la délimitation des arrondissements électoraux de la Ville de Genève (RDAEVG),A,A 5,Droits politiques,Structure cantonale et principes fondamentaux
A 5 10,Loi sur l’exercice du droit de pétition (LPétition),A,A 5,Droits politiques,Structure cantonale et principes fondamentaux
B 1 01,Loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 04,"Convention relative à la participation des parlements cantonaux dans le cadre de l’élaboration, de la ratification, de l’exécution et de la modification des conventions intercantonales et des traités des cantons avec l’étranger (Convention sur la participation des parlements) (CoParl)",B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 04.0,"Loi autorisant le Conseil d’Etat à adhérer à la convention relative à la participation des parlements cantonaux dans le cadre de l’élaboration, de la ratification, de l’exécution et de la modification des conventions intercantonales et des traités des cantons avec l’étranger (Convention sur la participation des parlements) (L-CoParl)",B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 15,Loi sur l’exercice des compétences du Conseil d’Etat et l’organisation de l’administration (LECO),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 15.03,Règlement pour l’organisation du Conseil d’Etat de la République et canton de Genève (RCE),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 20,Loi concernant le traitement et la retraite des membres du Conseil d’Etat et de la chancelière ou du chancelier d’Etat (LTRCE),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 20.01,"Règlement concernant la retraite des membres du Conseil d'Etat, de la chancelière ou du chancelier d'Etat et des magistrates et magistrats de la Cour des comptes (RTRCECC)",B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 20.03,Règlement relatif aux indemnités de représentation et à la prise en charge des frais effectifs des membres du Conseil d’Etat et de la chancelière ou du chancelier d’Etat (RIFCE),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 25,Loi sur le protocole (LProt),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 25.01,Règlement sur le protocole (RProt),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 30.12,Règlement pour la promotion de l'égalité et la prévention des violences (RPEPV),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 1 40,Loi sur la médiation administrative (LMéd-GE),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
B 2 05,"Loi sur la forme, la publication et la promulgation des actes officiels (LFPP)",B,B 2,Publications officielles et archives,Organisation du canton
B 2 05.01,"Règlement d’exécution de la loi sur la forme, la publication et la promulgation des actes officiels (RFPP)",B,B 2,Publications officielles et archives,Organisation du canton
B 2 10,Loi sur la Feuille d’avis officielle de la République et canton de Genève (LFAO),B,B 2,Publications officielles et archives,Organisation du canton
B 2 10.01,Règlement sur la Feuille d'avis officielle de la République et canton de Genève (RFAO),B,B 2,Publications officielles et archives,Organisation du canton
B 2 15,Loi sur les archives publiques (LArch),B,B 2,Publications officielles et archives,Organisation du canton
B 2 15.01,Règlement d’application de la loi sur les archives publiques (RArch),B,B 2,Publications officielles et archives,Organisation du canton
B 2 15.03,Règlement fixant les tarifs des émoluments des Archives d'Etat de Genève (REmArch),B,B 2,Publications officielles et archives,Organisation du canton
B 3 05.03,Règlement relatif aux documents d'identité (RDId),B,B 3,Pièces d’identité,Organisation du canton
B 3 15.04,Règlement relatif à la légalisation des signatures (RLS),B,B 3,Pièces d’identité,Organisation du canton
B 3 20.03,Règlement relatif à la signature des actes authentiques et autres actes concernant le domaine immobilier (RSAA),B,B 3,Pièces d’identité,Organisation du canton
B 3 25.04,Règlement sur les cartes de légitimation attestant un pouvoir d’autorité (RCLég),B,B 3,Pièces d’identité,Organisation du canton
B 4 05.10,Règlement sur l’organisation de l’administration cantonale (ROAC),B,B 4,Organisation de l’administration,Organisation du canton
B 4 05.14,Règlement sur les secrétaires généraux de départements et le collège des secrétaires généraux (RSGC),B,B 4,Organisation de l’administration,Organisation du canton
B 4 05.20,Règlement sur l’ouverture des bureaux de l’administration cantonale (ROBAC),B,B 4,Organisation de l’administration,Organisation du canton
B 4 05.22,Règlement de l’office du personnel (ROPE),B,B 4,Organisation de l’administration,Organisation du canton
B 4 10.03,Règlement sur les émoluments de l’administration cantonale (REmAC),B,B 4,Organisation de l’administration,Organisation du canton
B 4 20.03,Règlement de la centrale commune d'achats (RCCA),B,B 4,Organisation de l’administration,Organisation du canton
B 4 23,Loi sur l'administration en ligne (LAeL),B,B 4,Organisation de l’administration,Organisation du canton
B 4 23.01,Règlement sur l'administration en ligne (RAeL),B,B 4,Organisation de l’administration,Organisation du canton
B 4 23.03,Règlement sur l’organisation et la gouvernance des systèmes d’information et de communication (ROGSIC),B,B 4,Organisation de l’administration,Organisation du canton
B 4 25.04,Règlement concernant les inventaires et l’assurance-incendie des biens de l’Etat (RInv),B,B 4,Organisation de l’administration,Organisation du canton
B 4 30.08,Règlement concernant la protection de la santé et la sécurité du travail au sein de l’administration cantonale (RPST),B,B 4,Organisation de l’administration,Organisation du canton
B 4 38,Loi sur la publicité relative aux biens immobiliers des personnes morales de droit public (LPBI),B,B 4,Organisation de l’administration,Organisation du canton
B 4 40,Loi sur la statistique publique cantonale (LStat),B,B 4,Organisation de l’administration,Organisation du canton
B 4 40.01,Règlement d’exécution de la loi sur la statistique publique cantonale (RStat),B,B 4,Organisation de l’administration,Organisation du canton
B 4 40.03,Règlement relatif à la mise en œuvre de la législation fédérale sur le registre fédéral des bâtiments et des logements (RRegBL),B,B 4,Organisation de l’administration,Organisation du canton
B 4 40.05,Règlement sur les émoluments requis pour les prestations de l’office cantonal de la statistique (REmStat),B,B 4,Organisation de l’administration,Organisation du canton
B 5 05,"Loi générale relative au personnel de l’administration cantonale, du pouvoir judiciaire et des établissements publics médicaux (LPAC)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.01,"Règlement d’application de la loi générale relative au personnel de l’administration cantonale, du pouvoir judiciaire et des établissements publics médicaux (RPAC)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.03,Règlement sur les cadres supérieurs de l’administration cantonale (RCSAC),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.06,Règlement sur les cadres intermédiaires de l’administration cantonale (RCIAC),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.09,Règlement concernant les prestations complémentaires aux magistrats et aux membres du personnel de l’Etat en cas d’accidents (RPPE),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.10,Règlement relatif à la protection de la personnalité à l’Etat de Genève (RPPers),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.11,"Règlement pour l'égalité et la prévention des discriminations en raison du sexe, de l'orientation sexuelle et de l'identité de genre (REgal)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.13,Règlement sur le télétravail dans l'administration cantonale (RTAC),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.15,Règlement concernant la responsabilité des caissiers des services de l’administration cantonale (RRCS),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 05.18,Règlement fixant le statut des membres du personnel exerçant des fonctions manuelles (RStFM),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 07,Loi sur la protection des lanceurs d’alerte au sein de l’Etat (LPLA),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 07.01,Règlement d'application de la loi sur la protection des lanceurs d'alerte au sein de l'Etat (RPLA),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 10.04,"Règlement fixant le statut des membres du corps enseignant primaire, secondaire et tertiaire B (RStCE)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 10.17,Règlement fixant le statut du corps enseignant HES de l’unité décentralisée de Neuchâtel de la Haute école de musique – Conservatoire supérieur de musique de Genève (RStCE-HES-MNE),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15,"Loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l’Etat, du pouvoir judiciaire et des établissements hospitaliers (LTrait)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.01,"Règlement d’application de la loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l’Etat, du pouvoir judiciaire et des établissements hospitaliers (RTrait)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.04,Règlement instituant une commission de réexamen en matière d’évaluation des fonctions (RComEF),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.10,Règlement relatif au traitement des membres du personnel enseignant non nommé (RTrEns),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.13,Règlement relatif aux indemnités du corps enseignant et des présidents de conférence (RICEPC),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.20,Règlement relatif à l’adaptation des traitements au coût de la vie (RATCV),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.22,Règlement relatif à l’allocation unique de vie chère (RAUVC),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.24,"Règlement fixant les débours, frais de représentation et de déplacement et autres dépenses en faveur du personnel de l’administration cantonale (RDébours)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.30,Règlement instituant des commissions du personnel au sein de l’administration cantonale (RComPers),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 15.34,Règlement instituant une commission paritaire chargée d’examiner l’amélioration générale des prestations offertes aux usagers des établissements publics médicaux (RComPrest),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 20,Loi sur la rente-pont AVS (LRP),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 22,Loi instituant la Caisse de prévoyance de l’Etat de Genève (LCPEG),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 22.05,Règlement d’application de l’article 23 de la loi instituant la Caisse de prévoyance de l’Etat de Genève (RCPEG-23),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 30,"Loi concernant l’adaptation au coût de la vie des pensions servies aux retraités et pensionnés de l’Etat, des établissements hospitaliers et des caisses de prévoyance (LACVP)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 33,Loi sur la Caisse de prévoyance des fonctionnaires de police et des établissements pénitentiaires (LCPFP),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 35,Loi concernant un pont-retraite en faveur du personnel assuré par la Caisse de prévoyance des fonctionnaires de police et des établissements pénitentiaires (LPRCP),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 5 40,Loi concernant la Fondation de prévoyance en faveur du personnel des Transports publics genevois (LFPTPG),B,B 5,"Statuts, traitements et retraite",Organisation du canton
B 6 05,Loi sur l’administration des communes (LAC),B,B 6,Organisation des communes,Organisation du canton
B 6 05.01,Règlement d’application de la loi sur l’administration des communes (RAC),B,B 6,Organisation des communes,Organisation du canton
B 6 05.06,"Règlement concernant l’écharpe des maires, conseillers administratifs et adjoints des communes (REchM)",B,B 6,Organisation des communes,Organisation du canton
B 6 08,Loi sur le renforcement de la péréquation financière intercommunale et le développement de l’intercommunalité (LRPFI),B,B 6,Organisation des communes,Organisation du canton
B 6 08.01,Règlement d’application de la loi sur le renforcement de la péréquation financière intercommunale et le développement de l’intercommunalité (RRPFI),B,B 6,Organisation des communes,Organisation du canton
B 6 08.05,Statuts du Fonds intercommunal (StFI),B,B 6,Organisation des communes,Organisation du canton
B 6 09,Loi sur la répartition entre le canton et les communes de la compensation verticale relative à la réforme fiscale et au financement de l’AVS (LRCV),B,B 6,Organisation des communes,Organisation du canton
B 6 12,Loi sur les fusions de communes (LFusC),B,B 6,Organisation des communes,Organisation du canton
C 1 05,Concordat intercantonal sur la coordination scolaire (CICS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 05.0,Loi autorisant le Conseil d’Etat à adhérer au concordat intercantonal sur la coordination scolaire (L-CICS),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 06,Accord intercantonal sur l’harmonisation de la scolarité obligatoire (HarmoS),C,C 1,Instruction publique,"Instruction publique, culture"
